# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  CORHEL  Solar/Heliosphere
# Run name:   Seungwoo_Ahn_101024_SH_4
# Missing data:  -1.09951e+12
# Start Date, time: 2014/09/17  21:00:00
# Time R Lat Lon V_r V_lon V_lat B_r B_lon B_lat N T E_r E_lon E_lat V B P_ram BP 
# day AU deg deg km/s km/s km/s nT nT nT cm^-3 K mV/m mV/m mV/m km/s nT nPa [] 
  5.03082E-03  1.00496E+00  7.16099E+00  1.80000E+02  3.05713E+02  1.03660E+00 -1.87460E-01 -8.82417E-01  1.32281E+00 -1.53559E-04  1.51532E+01  3.60419E+04 -2.47815E-04 -2.12362E-04 -4.05316E-01  3.05715E+02  1.59012E+00  2.36850E+00 -1.00000E+00
  1.06432E-02  1.00496E+00  7.16087E+00  1.80000E+02  3.05754E+02  1.02599E+00 -1.91622E-01 -8.83330E-01  1.32359E+00 -1.14201E-04  1.51579E+01  3.60622E+04 -2.53512E-04 -2.04183E-04 -4.05600E-01  3.05756E+02  1.59128E+00  2.36988E+00 -1.00000E+00
  1.62554E-02  1.00496E+00  7.16076E+00  1.80000E+02  3.05796E+02  1.01527E+00 -1.95691E-01 -8.84244E-01  1.32437E+00 -7.52608E-05  1.51626E+01  3.60825E+04 -2.59090E-04 -1.96053E-04 -4.05885E-01  3.05798E+02  1.59243E+00  2.37126E+00 -1.00000E+00
  2.18690E-02  1.00495E+00  7.16064E+00  1.80000E+02  3.05838E+02  1.00445E+00 -1.99652E-01 -8.85156E-01  1.32515E+00 -3.67477E-05  1.51673E+01  3.61028E+04 -2.64533E-04 -1.87962E-04 -4.06171E-01  3.05840E+02  1.59359E+00  2.37265E+00 -1.00000E+00
  2.74840E-02  1.00495E+00  7.16052E+00  1.80000E+02  3.05880E+02  9.93522E-01 -2.03503E-01 -8.86070E-01  1.32594E+00  2.11015E-06  1.51721E+01  3.61231E+04 -2.69836E-04 -1.79673E-04 -4.06461E-01  3.05882E+02  1.59476E+00  2.37406E+00 -1.00000E+00
  3.31005E-02  1.00495E+00  7.16041E+00  1.80000E+02  3.05923E+02  9.82487E-01 -2.07218E-01 -8.86980E-01  1.32674E+00  4.13370E-05  1.51770E+01  3.61435E+04 -2.74966E-04 -1.71152E-04 -4.06752E-01  3.05924E+02  1.59593E+00  2.37549E+00 -1.00000E+00
  3.87185E-02  1.00495E+00  7.16029E+00  1.80000E+02  3.05964E+02  9.71333E-01 -2.10813E-01 -8.87891E-01  1.32755E+00  8.17768E-05  1.51821E+01  3.61638E+04 -2.79945E-04 -1.62158E-04 -4.07045E-01  3.05965E+02  1.59710E+00  2.37692E+00 -1.00000E+00
  4.43379E-02  1.00495E+00  7.16018E+00  1.80000E+02  3.06005E+02  9.60069E-01 -2.14272E-01 -8.88793E-01  1.32838E+00  1.23573E-04  1.51874E+01  3.61841E+04 -2.84753E-04 -1.52630E-04 -4.07343E-01  3.06006E+02  1.59829E+00  2.37838E+00 -1.00000E+00
  4.99587E-02  1.00495E+00  7.16006E+00  1.80000E+02  3.06048E+02  9.48688E-01 -2.17598E-01 -8.89698E-01  1.32922E+00  1.67193E-04  1.51927E+01  3.62046E+04 -2.89395E-04 -1.42427E-04 -4.07650E-01  3.06050E+02  1.59950E+00  2.37989E+00 -1.00000E+00
  5.55810E-02  1.00495E+00  7.15994E+00  1.80000E+02  3.06093E+02  9.37192E-01 -2.20773E-01 -8.90596E-01  1.33008E+00  2.13207E-04  1.51982E+01  3.62257E+04 -2.93846E-04 -1.31358E-04 -4.07963E-01  3.06095E+02  1.60071E+00  2.38146E+00 -1.00000E+00
  6.12048E-02  1.00494E+00  7.15983E+00  1.80000E+02  3.06141E+02  9.25583E-01 -2.23805E-01 -8.91496E-01  1.33095E+00  2.62038E-04  1.52037E+01  3.62475E+04 -2.98115E-04 -1.19301E-04 -4.08282E-01  3.06142E+02  1.60193E+00  2.38305E+00 -1.00000E+00
  6.68300E-02  1.00494E+00  7.15971E+00  1.80000E+02  3.06191E+02  9.13863E-01 -2.26676E-01 -8.92391E-01  1.33182E+00  3.13725E-04  1.52092E+01  3.62699E+04 -3.02179E-04 -1.06224E-04 -4.08608E-01  3.06192E+02  1.60316E+00  2.38469E+00 -1.00000E+00
