# Data printout from CCMC-simulation: version 1D-1.3
# Data type:  CORHEL  Solar/Heliosphere
# Run name:   Seungwoo_Ahn_063024_SH_3
# Missing data:  -1.09951e+12
# Start Date, time: 2015/11/01  00:00:00
# Time R Lat Lon V_r V_lon V_lat B_r B_lon B_lat N T E_r E_lon E_lat V B P_ram BP 
# day AU deg deg km/s km/s km/s nT nT nT cm^-3 K mV/m mV/m mV/m km/s nT nPa [] 
  6.92080E-04  9.92435E-01  4.32892E+00  1.80000E+02  3.18415E+02 -1.52527E+00  1.60189E-01 -8.92758E-01  1.41107E+00 -2.07777E-02  1.78633E+01  5.03588E+04  1.94346E-04 -6.47293E-03 -4.47944E-01  3.18419E+02  1.66990E+00  3.02899E+00 -1.00000E+00
  5.24996E-03  9.92434E-01  4.32845E+00  1.80000E+02  3.18612E+02 -1.61561E+00  1.18294E-01 -8.92974E-01  1.41015E+00 -2.12882E-02  1.78241E+01  5.03963E+04  1.32419E-04 -6.67704E-03 -4.47850E-01  3.18617E+02  1.66925E+00  3.02609E+00 -1.00000E+00
  9.80786E-03  9.92433E-01  4.32799E+00  1.80000E+02  3.18812E+02 -1.70729E+00  7.56574E-02 -8.93125E-01  1.40920E+00 -2.18059E-02  1.77844E+01  5.04335E+04  6.93872E-05 -6.88442E-03 -4.47744E-01  3.18817E+02  1.66853E+00  3.02316E+00 -1.00000E+00
  1.43655E-02  9.92432E-01  4.32753E+00  1.80000E+02  3.19014E+02 -1.80027E+00  3.22091E-02 -8.93275E-01  1.40819E+00 -2.23307E-02  1.77444E+01  5.04702E+04  5.15523E-06 -7.09504E-03 -4.47625E-01  3.19020E+02  1.66776E+00  3.02019E+00 -1.00000E+00
  1.89234E-02  9.92431E-01  4.32706E+00  1.80000E+02  3.19219E+02 -1.89457E+00 -1.19871E-02 -8.93349E-01  1.40714E+00 -2.28630E-02  1.77040E+01  5.05065E+04 -6.01830E-05 -7.30901E-03 -4.47494E-01  3.19225E+02  1.66693E+00  3.01719E+00 -1.00000E+00
  2.34811E-02  9.92429E-01  4.32659E+00  1.80000E+02  3.19428E+02 -1.99014E+00 -5.70194E-02 -8.93423E-01  1.40604E+00 -2.34024E-02  1.76631E+01  5.05423E+04 -1.26746E-04 -7.52633E-03 -4.47351E-01  3.19434E+02  1.66604E+00  3.01417E+00 -1.00000E+00
  2.80390E-02  9.92428E-01  4.32613E+00  1.80000E+02  3.19639E+02 -2.08700E+00 -1.02811E-01 -8.93405E-01  1.40490E+00 -2.39547E-02  1.76218E+01  5.05778E+04 -1.94432E-04 -7.74869E-03 -4.47194E-01  3.19645E+02  1.66508E+00  3.01110E+00 -1.00000E+00
  3.25968E-02  9.92427E-01  4.32566E+00  1.80000E+02  3.19853E+02 -2.18514E+00 -1.49399E-01 -8.93385E-01  1.40370E+00 -2.45194E-02  1.75800E+01  5.06129E+04 -2.63289E-04 -7.97606E-03 -4.47024E-01  3.19860E+02  1.66406E+00  3.00800E+00 -1.00000E+00
  3.71547E-02  9.92426E-01  4.32520E+00  1.80000E+02  3.20070E+02 -2.28455E+00 -1.96761E-01 -8.93268E-01  1.40245E+00 -2.50940E-02  1.75377E+01  5.06477E+04 -3.33275E-04 -8.20758E-03 -4.46839E-01  3.20078E+02  1.66295E+00  3.00484E+00 -1.00000E+00
  4.17125E-02  9.92425E-01  4.32473E+00  1.80000E+02  3.20289E+02 -2.38520E+00 -2.44934E-01 -8.93147E-01  1.40114E+00 -2.56762E-02  1.74949E+01  5.06820E+04 -4.04431E-04 -8.44257E-03 -4.46641E-01  3.20298E+02  1.66180E+00  3.00163E+00 -1.00000E+00
  4.62703E-02  9.92424E-01  4.32426E+00  1.80000E+02  3.20511E+02 -2.48704E+00 -2.93889E-01 -8.92917E-01  1.39979E+00 -2.62635E-02  1.74515E+01  5.07162E+04 -4.76701E-04 -8.68017E-03 -4.46427E-01  3.20521E+02  1.66054E+00  2.99835E+00 -1.00000E+00
  5.08282E-02  9.92423E-01  4.32380E+00  1.80000E+02  3.20735E+02 -2.59006E+00 -3.43658E-01 -8.92684E-01  1.39838E+00 -2.68536E-02  1.74075E+01  5.07500E+04 -5.50116E-04 -8.91969E-03 -4.46197E-01  3.20746E+02  1.65924E+00  2.99500E+00 -1.00000E+00
  5.53860E-02  9.92421E-01  4.32333E+00  1.80000E+02  3.20962E+02 -2.69420E+00 -3.94206E-01 -8.92334E-01  1.39691E+00 -2.74439E-02  1.73629E+01  5.07839E+04 -6.24608E-04 -9.16020E-03 -4.45949E-01  3.20973E+02  1.65782E+00  2.99156E+00 -1.00000E+00
  5.99439E-02  9.92420E-01  4.32287E+00  1.80000E+02  3.21190E+02 -2.79956E+00 -4.45558E-01 -8.91982E-01  1.39537E+00 -2.80274E-02  1.73176E+01  5.08176E+04 -7.00182E-04 -9.39955E-03 -4.45680E-01  3.21202E+02  1.65634E+00  2.98802E+00 -1.00000E+00
  6.45017E-02  9.92419E-01  4.32240E+00  1.80000E+02  3.21419E+02 -2.90615E+00 -4.97668E-01 -8.91497E-01  1.39376E+00 -2.85995E-02  1.72717E+01  5.08515E+04 -7.76746E-04 -9.63611E-03 -4.45392E-01  3.21433E+02  1.65474E+00  2.98438E+00 -1.00000E+00
  6.90596E-02  9.92418E-01  4.32193E+00  1.80000E+02  3.21650E+02 -3.01393E+00 -5.50550E-01 -8.91011E-01  1.39209E+00 -2.91597E-02  1.72250E+01  5.08857E+04 -8.54300E-04 -9.86977E-03 -4.45081E-01  3.21665E+02  1.65308E+00  2.98061E+00 -1.00000E+00
  7.36174E-02  9.92417E-01  4.32147E+00  1.80000E+02  3.21883E+02 -3.12278E+00 -6.04168E-01 -8.90381E-01  1.39034E+00 -2.97045E-02  1.71776E+01  5.09203E+04 -9.32757E-04 -1.00993E-02 -4.44745E-01  3.21899E+02  1.65127E+00  2.97673E+00 -1.00000E+00
  7.81752E-02  9.92415E-01  4.32100E+00  1.80000E+02  3.22117E+02 -3.23259E+00 -6.58548E-01 -8.89747E-01  1.38850E+00 -3.02348E-02  1.71294E+01  5.09553E+04 -1.01213E-03 -1.03251E-02 -4.44385E-01  3.22134E+02  1.64940E+00  2.97272E+00 -1.00000E+00
  8.27331E-02  9.92414E-01  4.32054E+00  1.80000E+02  3.22352E+02 -3.34331E+00 -7.13628E-01 -8.88964E-01  1.38658E+00 -3.07473E-02  1.70804E+01  5.09907E+04 -1.09230E-03 -1.05459E-02 -4.43997E-01  3.22371E+02  1.64737E+00  2.96856E+00 -1.00000E+00
  8.72909E-02  9.92413E-01  4.32007E+00  1.80000E+02  3.22588E+02 -3.45491E+00 -7.69438E-01 -8.88178E-01  1.38457E+00 -3.12427E-02  1.70306E+01  5.10266E+04 -1.17329E-03 -1.07619E-02 -4.43579E-01  3.22608E+02  1.64526E+00  2.96426E+00 -1.00000E+00
  9.18488E-02  9.92412E-01  4.31961E+00  1.80000E+02  3.22825E+02 -3.56731E+00 -8.25899E-01 -8.87236E-01  1.38247E+00 -3.17175E-02  1.69799E+01  5.10627E+04 -1.25493E-03 -1.09719E-02 -4.43131E-01  3.22846E+02  1.64299E+00  2.95981E+00 -1.00000E+00
  9.64066E-02  9.92411E-01  4.31914E+00  1.80000E+02  3.23062E+02 -3.68014E+00 -8.83064E-01 -8.86292E-01  1.38028E+00 -3.21721E-02  1.69285E+01  5.10993E+04 -1.33727E-03 -1.11762E-02 -4.42653E-01  3.23084E+02  1.64064E+00  2.95520E+00 -1.00000E+00
  1.00964E-01  9.92410E-01  4.31867E+00  1.80000E+02  3.23300E+02 -3.79334E+00 -9.40865E-01 -8.85189E-01  1.37798E+00 -3.26048E-02  1.68762E+01  5.11362E+04 -1.42018E-03 -1.13740E-02 -4.42144E-01  3.23324E+02  1.63813E+00  2.95044E+00 -1.00000E+00
  1.05522E-01  9.92408E-01  4.31821E+00  1.80000E+02  3.23541E+02 -3.90692E+00 -9.99345E-01 -8.84085E-01  1.37559E+00 -3.30166E-02  1.68229E+01  5.11736E+04 -1.50368E-03 -1.15657E-02 -4.41606E-01  3.23566E+02  1.63553E+00  2.94555E+00 -1.00000E+00
  1.10080E-01  9.92407E-01  4.31774E+00  1.80000E+02  3.23784E+02 -4.02080E+00 -1.05844E+00 -8.82818E-01  1.37309E+00 -3.34061E-02  1.67688E+01  5.12110E+04 -1.58766E-03 -1.17508E-02 -4.41035E-01  3.23811E+02  1.63275E+00  2.94050E+00 -1.00000E+00
  1.14638E-01  9.92406E-01  4.31728E+00  1.80000E+02  3.24025E+02 -4.13496E+00 -1.11819E+00 -8.81549E-01  1.37048E+00 -3.37751E-02  1.67139E+01  5.12483E+04 -1.67211E-03 -1.19297E-02 -4.40422E-01  3.24053E+02  1.62987E+00  2.93526E+00 -1.00000E+00
  1.19196E-01  9.92405E-01  4.31681E+00  1.80000E+02  3.24265E+02 -4.24929E+00 -1.17854E+00 -8.80107E-01  1.36775E+00 -3.41209E-02  1.66584E+01  5.12852E+04 -1.75694E-03 -1.21014E-02 -4.39774E-01  3.24295E+02  1.62681E+00  2.92988E+00 -1.00000E+00
  1.23754E-01  9.92404E-01  4.31634E+00  1.80000E+02  3.24504E+02 -4.36370E+00 -1.23951E+00 -8.78665E-01  1.36494E+00 -3.44448E-02  1.66022E+01  5.13215E+04 -1.84217E-03 -1.22666E-02 -4.39093E-01  3.24535E+02  1.62367E+00  2.92434E+00 -1.00000E+00
  1.28311E-01  9.92403E-01  4.31588E+00  1.80000E+02  3.24743E+02 -4.47811E+00 -1.30108E+00 -8.77037E-01  1.36203E+00 -3.47461E-02  1.65456E+01  5.13567E+04 -1.92771E-03 -1.24247E-02 -4.38383E-01  3.24776E+02  1.62035E+00  2.91870E+00 -1.00000E+00
  1.32869E-01  9.92401E-01  4.31542E+00  1.80000E+02  3.24981E+02 -4.59249E+00 -1.36324E+00 -8.75407E-01  1.35904E+00 -3.50297E-02  1.64886E+01  5.13906E+04 -2.01358E-03 -1.25774E-02 -4.37644E-01  3.25017E+02  1.61696E+00  2.91295E+00 -1.00000E+00
  1.37427E-01  9.92400E-01  4.31495E+00  1.80000E+02  3.25218E+02 -4.70675E+00 -1.42596E+00 -8.73585E-01  1.35598E+00 -3.52948E-02  1.64314E+01  5.14230E+04 -2.09970E-03 -1.27242E-02 -4.36876E-01  3.25255E+02  1.61340E+00  2.90709E+00 -1.00000E+00
  1.41985E-01  9.92399E-01  4.31448E+00  1.80000E+02  3.25453E+02 -4.82087E+00 -1.48927E+00 -8.71763E-01  1.35284E+00 -3.55457E-02  1.63739E+01  5.14542E+04 -2.18611E-03 -1.28668E-02 -4.36085E-01  3.25492E+02  1.60979E+00  2.90116E+00 -1.00000E+00
  1.46543E-01  9.92398E-01  4.31402E+00  1.80000E+02  3.25692E+02 -4.93480E+00 -1.55315E+00 -8.69750E-01  1.34966E+00 -3.57813E-02  1.63162E+01  5.14846E+04 -2.27280E-03 -1.30045E-02 -4.35281E-01  3.25733E+02  1.60603E+00  2.89521E+00 -1.00000E+00
  1.51101E-01  9.92397E-01  4.31355E+00  1.80000E+02  3.25934E+02 -5.04847E+00 -1.61766E+00 -8.67736E-01  1.34642E+00 -3.60052E-02  1.62582E+01  5.15141E+04 -2.35982E-03 -1.31390E-02 -4.34464E-01  3.25977E+02  1.60222E+00  2.88924E+00 -1.00000E+00
  1.55659E-01  9.92396E-01  4.31309E+00  1.80000E+02  3.26179E+02 -5.16186E+00 -1.68276E+00 -8.65526E-01  1.34312E+00 -3.62215E-02  1.61999E+01  5.15431E+04 -2.44712E-03 -1.32711E-02 -4.33629E-01  3.26224E+02  1.59825E+00  2.88324E+00 -1.00000E+00
  1.60216E-01  9.92394E-01  4.31262E+00  1.80000E+02  3.26427E+02 -5.27496E+00 -1.74845E+00 -8.63314E-01  1.33975E+00 -3.64321E-02  1.61411E+01  5.15720E+04 -2.53467E-03 -1.34019E-02 -4.32776E-01  3.26474E+02  1.59423E+00  2.87719E+00 -1.00000E+00
  1.64774E-01  9.92393E-01  4.31215E+00  1.80000E+02  3.26677E+02 -5.38770E+00 -1.81469E+00 -8.60886E-01  1.33631E+00 -3.66364E-02  1.60820E+01  5.16005E+04 -2.62237E-03 -1.35305E-02 -4.31902E-01  3.26726E+02  1.59003E+00  2.87109E+00 -1.00000E+00
  1.69332E-01  9.92392E-01  4.31169E+00  1.80000E+02  3.26929E+02 -5.50011E+00 -1.88161E+00 -8.58458E-01  1.33279E+00 -3.68365E-02  1.60225E+01  5.16284E+04 -2.71039E-03 -1.36582E-02 -4.31006E-01  3.26980E+02  1.58576E+00  2.86492E+00 -1.00000E+00
  1.73890E-01  9.92391E-01  4.31122E+00  1.80000E+02  3.27182E+02 -5.61202E+00 -1.94916E+00 -8.55822E-01  1.32919E+00 -3.70303E-02  1.59626E+01  5.16557E+04 -2.79862E-03 -1.37838E-02 -4.30086E-01  3.27236E+02  1.58132E+00  2.85867E+00 -1.00000E+00
  1.78448E-01  9.92390E-01  4.31076E+00  1.80000E+02  3.27438E+02 -5.72350E+00 -2.01734E+00 -8.53185E-01  1.32552E+00 -3.72231E-02  1.59022E+01  5.16823E+04 -2.88707E-03 -1.39094E-02 -4.29142E-01  3.27494E+02  1.57680E+00  2.85234E+00 -1.00000E+00
  1.83006E-01  9.92389E-01  4.31029E+00  1.80000E+02  3.27695E+02 -5.83447E+00 -2.08605E+00 -8.50351E-01  1.32175E+00 -3.74149E-02  1.58412E+01  5.17082E+04 -2.97555E-03 -1.40345E-02 -4.28170E-01  3.27753E+02  1.57211E+00  2.84590E+00 -1.00000E+00
  1.87563E-01  9.92387E-01  4.30982E+00  1.80000E+02  3.27952E+02 -5.94501E+00 -2.15526E+00 -8.47516E-01  1.31790E+00 -3.76071E-02  1.57797E+01  5.17331E+04 -3.06399E-03 -1.41600E-02 -4.27170E-01  3.28013E+02  1.56734E+00  2.83936E+00 -1.00000E+00
  1.92121E-01  9.92386E-01  4.30936E+00  1.80000E+02  3.28211E+02 -6.05501E+00 -2.22495E+00 -8.44483E-01  1.31395E+00 -3.77970E-02  1.57177E+01  5.17571E+04 -3.15234E-03 -1.42843E-02 -4.26141E-01  3.28274E+02  1.56239E+00  2.83269E+00 -1.00000E+00
  1.96679E-01  9.92385E-01  4.30889E+00  1.80000E+02  3.28471E+02 -6.16448E+00 -2.29505E+00 -8.41449E-01  1.30992E+00 -3.79848E-02  1.56549E+01  5.17800E+04 -3.24048E-03 -1.44080E-02 -4.25082E-01  3.28536E+02  1.55736E+00  2.82590E+00 -1.00000E+00
  2.01237E-01  9.92384E-01  4.30843E+00  1.80000E+02  3.28731E+02 -6.27329E+00 -2.36550E+00 -8.38215E-01  1.30578E+00 -3.81676E-02  1.55916E+01  5.18021E+04 -3.32826E-03 -1.45297E-02 -4.23991E-01  3.28799E+02  1.55213E+00  2.81896E+00 -1.00000E+00
  2.05795E-01  9.92383E-01  4.30796E+00  1.80000E+02  3.28992E+02 -6.38144E+00 -2.43618E+00 -8.34981E-01  1.30154E+00 -3.83450E-02  1.55275E+01  5.18230E+04 -3.41548E-03 -1.46494E-02 -4.22868E-01  3.29063E+02  1.54683E+00  2.81189E+00 -1.00000E+00
  2.10353E-01  9.92381E-01  4.30749E+00  1.80000E+02  3.29254E+02 -6.48900E+00 -2.50710E+00 -8.31555E-01  1.29719E+00 -3.85152E-02  1.54628E+01  5.18428E+04 -3.50212E-03 -1.47661E-02 -4.21710E-01  3.29327E+02  1.54132E+00  2.80467E+00 -1.00000E+00
  2.14910E-01  9.92380E-01  4.30703E+00  1.80000E+02  3.29516E+02 -6.59607E+00 -2.57824E+00 -8.28129E-01  1.29274E+00 -3.86748E-02  1.53974E+01  5.18613E+04 -3.58809E-03 -1.48791E-02 -4.20515E-01  3.29592E+02  1.53573E+00  2.79729E+00 -1.00000E+00
  2.19468E-01  9.92379E-01  4.30656E+00  1.80000E+02  3.29778E+02 -6.70251E+00 -2.64957E+00 -8.24515E-01  1.28816E+00 -3.88202E-02  1.53312E+01  5.18785E+04 -3.67327E-03 -1.49867E-02 -4.19281E-01  3.29857E+02  1.52993E+00  2.78975E+00 -1.00000E+00
  2.24026E-01  9.92378E-01  4.30610E+00  1.80000E+02  3.30041E+02 -6.80816E+00 -2.72110E+00 -8.20901E-01  1.28347E+00 -3.89521E-02  1.52642E+01  5.18941E+04 -3.75763E-03 -1.50895E-02 -4.18007E-01  3.30122E+02  1.52404E+00  2.78203E+00 -1.00000E+00
  2.28584E-01  9.92377E-01  4.30563E+00  1.80000E+02  3.30303E+02 -6.91286E+00 -2.79284E+00 -8.17107E-01  1.27864E+00 -3.90663E-02  1.51965E+01  5.19078E+04 -3.84111E-03 -1.51858E-02 -4.16692E-01  3.30387E+02  1.51793E+00  2.77414E+00 -1.00000E+00
  2.33142E-01  9.92376E-01  4.30516E+00  1.80000E+02  3.30567E+02 -7.01653E+00 -2.86480E+00 -8.13312E-01  1.27369E+00 -3.91642E-02  1.51280E+01  5.19199E+04 -3.92366E-03 -1.52764E-02 -4.15333E-01  3.30654E+02  1.51172E+00  2.76608E+00 -1.00000E+00
  2.37700E-01  9.92374E-01  4.30470E+00  1.80000E+02  3.30830E+02 -7.11905E+00 -2.93693E+00 -8.09337E-01  1.26859E+00 -3.92409E-02  1.50586E+01  5.19301E+04 -4.00513E-03 -1.53590E-02 -4.13927E-01  3.30920E+02  1.50529E+00  2.75783E+00 -1.00000E+00
  2.42257E-01  9.92373E-01  4.30423E+00  1.80000E+02  3.31092E+02 -7.22024E+00 -3.00922E+00 -8.05363E-01  1.26336E+00 -3.92973E-02  1.49884E+01  5.19383E+04 -4.08546E-03 -1.54346E-02 -4.12473E-01  3.31185E+02  1.49874E+00  2.74938E+00 -1.00000E+00
  2.46815E-01  9.92372E-01  4.30377E+00  1.80000E+02  3.31352E+02 -7.31982E+00 -3.08162E+00 -8.01210E-01  1.25797E+00 -3.93281E-02  1.49175E+01  5.19441E+04 -4.16447E-03 -1.55005E-02 -4.10968E-01  3.31448E+02  1.49197E+00  2.74071E+00 -1.00000E+00
  2.51373E-01  9.92371E-01  4.30331E+00  1.80000E+02  3.31610E+02 -7.41761E+00 -3.15417E+00 -7.97058E-01  1.25245E+00 -3.93347E-02  1.48457E+01  5.19474E+04 -4.24220E-03 -1.55579E-02 -4.09413E-01  3.31708E+02  1.48509E+00  2.73181E+00 -1.00000E+00
  2.55931E-01  9.92370E-01  4.30283E+00  1.80000E+02  3.31868E+02 -7.51362E+00 -3.22694E+00 -7.92731E-01  1.24678E+00 -3.93138E-02  1.47731E+01  5.19481E+04 -4.31868E-03 -1.56051E-02 -4.07810E-01  3.31968E+02  1.47798E+00  2.72271E+00 -1.00000E+00
  2.60489E-01  9.92369E-01  4.30237E+00  1.80000E+02  3.32125E+02 -7.60788E+00 -3.29983E+00 -7.88405E-01  1.24097E+00 -3.92678E-02  1.46995E+01  5.19462E+04 -4.39375E-03 -1.56434E-02 -4.06160E-01  3.32228E+02  1.47076E+00  2.71340E+00 -1.00000E+00
  2.65047E-01  9.92367E-01  4.30191E+00  1.80000E+02  3.32382E+02 -7.70045E+00 -3.37287E+00 -7.83908E-01  1.23500E+00 -3.91944E-02  1.46250E+01  5.19420E+04 -4.46732E-03 -1.56715E-02 -4.04457E-01  3.32488E+02  1.46331E+00  2.70388E+00 -1.00000E+00
  2.69605E-01  9.92366E-01  4.30144E+00  1.80000E+02  3.32640E+02 -7.79137E+00 -3.44597E+00 -7.79416E-01  1.22885E+00 -3.90968E-02  1.45495E+01  5.19353E+04 -4.53921E-03 -1.56910E-02 -4.02694E-01  3.32749E+02  1.45571E+00  2.69415E+00 -1.00000E+00
  2.74162E-01  9.92365E-01  4.30098E+00  1.80000E+02  3.32889E+02 -7.88056E+00 -3.51907E+00 -7.74757E-01  1.22255E+00 -3.89709E-02  1.44734E+01  5.19256E+04 -4.60937E-03 -1.56994E-02 -4.00870E-01  3.33001E+02  1.44790E+00  2.68410E+00 -1.00000E+00
  2.78720E-01  9.92364E-01  4.30051E+00  1.80000E+02  3.33130E+02 -7.96790E+00 -3.59207E+00 -7.70105E-01  1.21614E+00 -3.88211E-02  1.43967E+01  5.19124E+04 -4.67779E-03 -1.56988E-02 -3.98998E-01  3.33245E+02  1.43999E+00  2.67379E+00 -1.00000E+00
  2.83278E-01  9.92363E-01  4.30004E+00  1.80000E+02  3.33365E+02 -8.05328E+00 -3.66490E+00 -7.65294E-01  1.20964E+00 -3.86458E-02  1.43198E+01  5.18953E+04 -4.74444E-03 -1.56879E-02 -3.97089E-01  3.33482E+02  1.43192E+00  2.66331E+00 -1.00000E+00
  2.87836E-01  9.92362E-01  4.29958E+00  1.80000E+02  3.33591E+02 -8.13665E+00 -3.73738E+00 -7.60491E-01  1.20308E+00 -3.84485E-02  1.42430E+01  5.18732E+04 -4.80921E-03 -1.56683E-02 -3.95149E-01  3.33711E+02  1.42381E+00  2.65265E+00 -1.00000E+00
  2.92394E-01  9.92360E-01  4.29911E+00  1.80000E+02  3.33808E+02 -8.21795E+00 -3.80944E+00 -7.55539E-01  1.19648E+00 -3.82300E-02  1.41665E+01  5.18462E+04 -4.87208E-03 -1.56397E-02 -3.93185E-01  3.33931E+02  1.41558E+00  2.64188E+00 -1.00000E+00
